id;name;geoid;geoname;value;datetime
805;Precio medio cuarto horario componente mercado diario;;;51.5;2026-01-04T04:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;51.38;2026-01-04T05:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;50.34;2026-01-04T05:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;50;2026-01-04T05:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;50;2026-01-04T05:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;52.71;2026-01-04T06:00:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;54.6;2026-01-04T06:15:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55;2026-01-04T06:30:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.25;2026-01-04T06:45:00+01:00
805;Precio medio cuarto horario componente mercado diario;;;55.25;2026-01-04T07:00:00+01:00
